SCOTTIE ESPRESSO G,SCOTTIE ESPRESSO G,1,60110,115,10870,PIECE,499,0,0,4812456095983,60110-34,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0007,SDI00269,,,201709,459000,399,,25,,,,,,339,,,,,,,,,,,,,,
SCOTTIE NICKEL M,SCOTTIE NICKEL M,1,60110,115,10864,PIECE,499,0,0,4812456096003,60110-36,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00269,,,201709,499000,0,,25,,,,,,339,,,,,,,,,,,,,,
SCOTTIE INK F,SCOTTIE INK F,1,60110,115,10851,PIECE,499,0,0,4812456097093,60110-38,,SCO0028,SGC0003,,SGE0033,,SMT0002,SPS0037,SSH0007,SDI00269,,,201709,459000,399,,25,,,,,,339,,,,,,,,,,,,,,
ROONEY MATTE CLEAR,ROONEY MATTE CLEAR,1,60112,115,10540,PIECE,399,0,0,4812456079990,60112-1,,SCO0028,SGC0003,SFI0001,,,,SPS0037,SSH0006,,,,201803,0,0,,25,,,,,,339,,,,,,,,,,,,,,
ROONEY TRANSPARENT RED,ROONEY TRANSPARENT RED,1,60112,115,10776,PIECE,399,0,0,4812456080026,60112-4,,SCO0028,SGC0003,,,,,SPS0037,SSH0006,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
ROONEY TRANSPARENT YELLOW,ROONEY TRANSPARENT YELLOW,1,60112,115,10779,PIECE,399,0,0,4812456080033,60112-5,,SCO0028,SGC0003,,,,,SPS0037,SSH0006,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
TONY MATTE GRAY,TONY MATTE GRAY,1,60114,115,10546,PIECE,399,0,0,4812456080071,60114-1,,SCO0028,SGC0003,SFI0001,,,,SPS0037,SSH0003,,,,2016,0,0,,25,,,,,,339,,,,,,,,,,,,,,
CASSIDY CLEAR MIRROR,CASSIDY CLEAR MIRROR,1,60117,115,10242,PIECE,499,0,0,4812456081740,60117-4,,SCO0028,SGC0003,,SGE0028,,SMT0004,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,429,,,,,,,,,,,,,,
LOLITA COLA FULL BROWN,LOLITA COLA FULL BROWN,1,60119,115,10273,PIECE,299,0,0,4812456088701,60119-11,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,259,,,,,,,,,,,,,,
LOLITA BROWN TORT/FULL BROWN,LOLITA BROWN TORT/FULL BROWN,1,60119,115,10151,PIECE,299,0,0,4812456088718,60119-12,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,259,,,,,,,,,,,,,,
LOLITA CHAMPAGNE,LOLITA CHAMPAGNE,1,60119,115,10169,PIECE,299,0,0,4812456083171,60119-3,,SCO0028,SGC0003,,SGE0005,,SMT0002,SPS0037,SSH0002,,,,2016,0,0,,25,,,,,,259,,,,,,,,,,,,,,
